,,,,,,,,,,,,,,,,,,,,
,Age (years),Non-trauma EDV CRFs [ICD 10: A00-R99],SE,Asthma HA CRFs [ICD 10: J45],SE,WA baseline incidence rate (per person per day),Asthma symptoms onset CRFs [ICD 10: J45],SE,"COPD Emergency HA  CRFs [ICD 10: J41,J42,J43,J44]",SE,"Acute Otitis Media (ear ache) Outpatient healthcare CRFs [ICD-10: H65, H66, H67, H68, H69, J10, J11, J12]",SE,Respiratory Disease HA CRFs [ICD 10: J00-J99],SE,"Ischemic heart disease EDV CRFs [ICD 10: I20-I25, I46, I49]",SE,Age (years),,,
,0,-,,0.000478829999999996,0.005264152,-,-,-,-,-,0.004341546,1.52E-04,0,0.005827311,-,-,0,,,
,1,-,-,0.000852159999999998,0.005096211,0.00000348706547945205,0.019673549,0.0013023007,-,-,0.004131458,9.14E-05,0.000113912999999993,0.005799742,-,-,1,,,
,2,-,-,0.00122549,0.004925057,0.00000285059671232877,0.02286326,0.0010475454,-,-,0.00419922,7.46E-05,0.000264760000000003,0.005749548,-,-,2,,,
,3,-,-,0.00144292,0.004758086,0.00000238279150684932,0.024248091,0.0008546414,-,-,0.004223693,7.22E-05,0.000390790000000002,0.005685904,-,-,3,,,
,4,-,-,0.0016188,0.004594992,0.00000202063616438356,0.025187174,0.0007105506,6.53E-07,0.000001110893,0.004239666,7.31E-05,0.000508510000000004,0.005612074,-,-,4,,,
,5,-,-,0.00177400999999999,0.004435336,0.00000173266109589041,0.02590012,0.0006069848,4.47E-06,0.000004772023,0.004251583,7.30E-05,0.00062232999999999,0.00552993,-,-,5,,,
,6,-,-,0.00191691000000001,0.004278831,0.00000149989342465753,0.026472899,0.0005368279,1.53E-05,0.00001413017,0.004261102,7.08E-05,0.000734240000000011,0.005440741,-,-,6,,,
,7,-,-,0.00205171999999999,0.004125334,0.00000130974054794521,0.026949013,0.0004928262,3.86E-05,0.00003329203,0.00426902,6.73E-05,0.000845369999999998,0.005345466,-,-,7,,,
,8,-,-,0.00218093,0.003974815,0.00000115333150684932,0.02735383,0.0004676029,8.14E-05,0.00006720008,0.004275711,6.40E-05,0.000956409999999991,0.005244883,-,-,8,,,
,9,-,-,0.00230606,0.003827326,0.00000102415753424658,0.027703583,0.0004544602,1.52E-04,0.0001212071,0.004281031,6.33E-05,0.00106785000000001,0.005139656,-,-,9,,,
,10,-,-,0.00242818,0.003682985,0.00000091729698630137,0.028009354,0.0004481212,2.59E-04,0.0002004949,0.004283362,6.73E-05,0.00117998,0.00503038,-,-,10,,,
,11,-,-,0.00254799,0.003541957,0.000000828941095890411,0.028279095,0.000444935,4.13E-04,0.0003093618,0.004276316,7.55E-05,0.00129304,0.0049176,-,-,11,,,
,12,-,-,0.00266606,0.003404445,0.000000756086301369863,0.028518727,0.0004426436,6.23E-04,0.0004504365,0.004239626,8.44E-05,0.00140723000000001,0.004801832,-,-,12,,,
,13,-,-,0.00278275,0.003270683,0.000000696328219178082,0.028732794,0.0004400025,8.97E-04,0.0006239158,0.004119093,9.45E-05,0.00152265,0.00468357,-,-,13,,,
,14,-,-,0.00289841,0.003140931,0.000000647716164383562,0.028924876,0.0004364332,1.24E-03,0.0008269631,0.003801819,1.27E-04,0.00163941999999999,0.004563297,-,-,14,,,
,15,0.004045325,2.47E-04,0.00301324,0.00301547,0.000000608650684931507,0.029097846,0.0004317664,1.65E-03,0.001053426,0.00315177600000001,1.92E-04,0.00175762,0.004441491,-,-,15,,,
,16,0.0043966524,5.43E-05,0.00312744,0.002894599,0.000000577807123287671,0.029254056,0.0004260684,2.13E-03,0.001294017,0.00220425399999999,2.54E-04,0.00187729,0.004318627,-,-,16,,,
,17,0.00437825,5.32E-05,0.00324118000000001,0.002778635,0.000000554079178082192,0.029395451,0.0004195291,2.68E-03,0.001537033,0.001277334,2.97E-04,0.00199851,0.004195186,-,-,17,,,
,18,0.0043594959,5.22E-05,0.00335455,0.002667903,0.000000536535890410959,0.029523669,0.0004123923,3.27E-03,0.001769583,0.000644222999999999,3.30E-04,0.00212131,0.004071657,-,-,18,,,
